dataset,function,best_score
CatsDogs,random_ee,0.695398428731762
SpokenArabicDigits,random_ee,0.7529917179985394
FSDD,random_ee,0.18133333333333335
SPEECHCOMMANDS,random_ee,0.05837901350928649
MackeyGlass,random_ee,0.0032635300639376912
Lorenz,random_ee,0.7934315298073354
Sunspot_daily,random_ee,0.4597199230525497
CatsDogs,random_ei,0.7072951739618407
SpokenArabicDigits,random_ei,0.8919530227238276
FSDD,random_ei,0.23600000000000002
SPEECHCOMMANDS,random_ei,0.07813395411283336
MackeyGlass,random_ei,0.004531475620457179
Lorenz,random_ei,0.7794032651387145
Sunspot_daily,random_ei,0.44683079653319663
CatsDogs,ip_correct,0.7318742985409653
SpokenArabicDigits,ip_correct,0.9068025410999491
FSDD,ip_correct,0.23133333333333336
SPEECHCOMMANDS,ip_correct,0.12378284142372857
MackeyGlass,ip_correct,0.0043719181025938915
Lorenz,ip_correct,0.7755230985807423
Sunspot_daily,ip_correct,0.4466677970321766
CatsDogs,anti-oja_fast,0.7012345679012345
SpokenArabicDigits,anti-oja_fast,0.8937689996830516
FSDD,anti-oja_fast,0.27266666666666667
SPEECHCOMMANDS,anti-oja_fast,0.09374437344543295
MackeyGlass,anti-oja_fast,0.0043453546946399454
Lorenz,anti-oja_fast,0.7866099873222892
Sunspot_daily,anti-oja_fast,0.4466995301641224
CatsDogs,ip-anti-oja_fast,0.7012345679012345
SpokenArabicDigits,ip-anti-oja_fast,0.8892218225915361
FSDD,ip-anti-oja_fast,0.24366666666666667
SPEECHCOMMANDS,ip-anti-oja_fast,0.11824665460283419
MackeyGlass,ip-anti-oja_fast,0.004535921588320381
Lorenz,ip-anti-oja_fast,0.7815376173809541
Sunspot_daily,ip-anti-oja_fast,0.4496619386714266
CatsDogs,hadsp,0.7134680134680135
SpokenArabicDigits,hadsp,0.9768141166094781
FSDD,hadsp,0.48600000000000004
SPEECHCOMMANDS,hadsp,0.14985109052959833
MackeyGlass,hadsp,0.002952554402576163
Lorenz,hadsp,0.7765178819941826
Sunspot_daily,hadsp,0.43091612110938526
CatsDogs,desp,0.7255892255892257
SpokenArabicDigits,desp,0.9804512381661086
FSDD,desp,0.5220000000000001
SPEECHCOMMANDS,desp,0.302784816805382
MackeyGlass,desp,0.004911311102174218
Lorenz,desp,0.78845210874502
Sunspot_daily,desp,0.4244805199035205
CatsDogs,lstm_last,0.7193041526374859
SpokenArabicDigits,lstm_last,0.9880164786551648
FSDD,lstm_last,0.5730537634408602
SPEECHCOMMANDS,lstm_last,0.8563302093887201
MackeyGlass,lstm_last,0.03459740802645683
Lorenz,lstm_last,0.8161235451698303
Sunspot_daily,lstm_last,0.21001601219177246
CatsDogs,gru,0.7315375982042648
SpokenArabicDigits,gru,0.9960517584605175
FSDD,gru,0.5567956989247311
SPEECHCOMMANDS,gru,0.8943135764944276
MackeyGlass,gru,0.03429371863603592
Lorenz,gru,0.705200731754303
Sunspot_daily,gru,0.205957293510437
