Dataset,Function_disp,delta_pp
CatsDogs,Anti-Oja,2.896340000000002
CatsDogs,E-ESN,2.8963400000000092
CatsDogs,ESN,1.2195100000000068
CatsDogs,IP,1.829270000000001
CatsDogs,"IP +
Anti-Oja",2.591459999999998
CatsDogs,mean HAG,2.8963400000000092
CatsDogs,variance HAG,2.1341500000000053
FSDD,Anti-Oja,2.0
FSDD,E-ESN,1.6625000000000014
FSDD,ESN,3.1750000000000007
FSDD,IP,0.7375000000000007
FSDD,"IP +
Anti-Oja",5.400000000000002
FSDD,mean HAG,31.087500000000002
FSDD,variance HAG,30.150000000000002
JapaneseVowels,Anti-Oja,-0.7094599999999929
JapaneseVowels,E-ESN,0.47297000000000367
JapaneseVowels,ESN,0.0
JapaneseVowels,IP,1.283779999999993
JapaneseVowels,"IP +
Anti-Oja",0.8108100000000036
JapaneseVowels,mean HAG,1.5540500000000037
JapaneseVowels,variance HAG,1.9932400000000001
