Dataset,Function,Mapping,Representation,Average Score,Standard Deviation,Date
CatsDogs,random_ee,random,mfcc,65.39634 %,± 0.95198 %,2025-12-19
CatsDogs,random_ei,random,mfcc,63.33841 %,± 0.77354 %,2025-12-19
CatsDogs,ip_correct,random,mfcc,63.64329 %,± 1.17833 %,2025-12-19
CatsDogs,anti-oja_fast,random,mfcc,63.03354 %,± 0.7429 %,2025-12-19
CatsDogs,ip-anti-oja_fast,random,mfcc,63.94817 %,± 1.07521 %,2025-12-19
CatsDogs,hadsp,random,mfcc,66.92073 %,± 1.48579 %,2025-12-19
CatsDogs,desp,random,mfcc,65.54878 %,± 0.80663 %,2025-12-19
CatsDogs,random_ee,modular,mfcc,67.9878 %,± 0.60976 %,2025-12-19
CatsDogs,random_ei,modular,mfcc,66.15854 %,± 0.91463 %,2025-12-19
CatsDogs,ip_correct,modular,mfcc,65.70122 %,± 2.95197 %,2025-12-19
CatsDogs,anti-oja_fast,modular,mfcc,67.30183 %,± 1.72297 %,2025-12-19
CatsDogs,ip-anti-oja_fast,modular,mfcc,65.77744 %,± 1.89018 %,2025-12-19
CatsDogs,hadsp,modular,mfcc,69.58841 %,± 0.77354 %,2025-12-19
CatsDogs,desp,modular,mfcc,67.75915 %,± 1.27312 %,2025-12-19
FSDD,random_ee,random,mfcc,15.6125 %,± 0.72187 %,2025-12-19
FSDD,random_ei,random,mfcc,19.5375 %,± 0.87598 %,2025-12-19
FSDD,ip_correct,random,mfcc,22.2625 %,± 1.76418 %,2025-12-19
FSDD,anti-oja_fast,random,mfcc,24.7125 %,± 1.88709 %,2025-12-19
FSDD,ip-anti-oja_fast,random,mfcc,19.375 %,± 1.23567 %,2025-12-19
FSDD,hadsp,random,mfcc,16.55 %,± 0.72111 %,2025-12-19
FSDD,desp,random,mfcc,12.725 %,± 0.44371 %,2025-12-19
FSDD,random_ee,modular,mfcc,17.75 %,± 0.75166 %,2025-12-19
FSDD,random_ei,modular,mfcc,24.525 %,± 1.74051 %,2025-12-19
FSDD,ip_correct,modular,mfcc,21.625 %,± 1.45323 %,2025-12-19
FSDD,anti-oja_fast,modular,mfcc,25.3875 %,± 1.48529 %,2025-12-19
FSDD,ip-anti-oja_fast,modular,mfcc,23.425 %,± 2.56405 %,2025-12-19
FSDD,hadsp,modular,mfcc,46.65 %,± 1.55483 %,2025-12-19
FSDD,desp,modular,mfcc,47.7625 %,± 2.47585 %,2025-12-19
JapaneseVowels,random_ee,random,mfcc,96.58784 %,± 0.1881 %,2025-12-19
JapaneseVowels,random_ei,random,mfcc,97.5 %,± 0.29452 %,2025-12-19
JapaneseVowels,ip_correct,random,mfcc,95.94595 %,± 0.55718 %,2025-12-19
JapaneseVowels,anti-oja_fast,random,mfcc,97.33108 %,± 0.36854 %,2025-12-19
JapaneseVowels,ip-anti-oja_fast,random,mfcc,96.65541 %,± 0.58807 %,2025-12-19
JapaneseVowels,hadsp,random,mfcc,95.37162 %,± 0.16202 %,2025-12-19
