dataset,function_name,spectral_radius_mean,spectral_radius_std,pearson_mean,pearson_std,CEVD_mean,CEVD_std,dcor_mean,dcor_std,inter_dists_mean,inter_dists_std,intra_dists_mean,intra_dists_std,separability_ratios_mean,separability_ratios_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
CatsDogs,anti-oja_fast,0.77002,0.01746,0.18699,0.00732,43.25,2.16506,0.19137,0.00679,0.17194,0.02885,0.67221,0.04201,0.25434,0.02659,0.0264,0.00509,5.57077,0.53618,5.08039,1.08367
CatsDogs,desp,1.67186,0.02357,0.20687,0.00807,10.75,0.43301,0.28889,0.0064,0.16996,0.00689,0.53193,0.01565,0.31957,0.01067,0.04322,0.00232,4.38154,0.1445,7.43195,0.47766
CatsDogs,hadsp,1.01206,7e-05,0.46517,0.01078,13.0,0.0,0.29145,0.00015,0.21531,0.01109,0.64553,0.01109,0.33346,0.01466,0.04744,0.00356,4.20248,0.1814,8.10635,0.71932
CatsDogs,hsp,,,,,,,,,0.05055,0.00183,0.24445,0.00899,0.20679,0.00145,0.02263,0.00071,6.69079,0.04713,2.96469,0.04443
CatsDogs,ip-anti-oja_fast,1.06656,0.01667,0.18511,0.00298,38.5,1.11803,0.186,0.00589,0.06486,0.00352,0.25547,0.00519,0.25392,0.01331,0.02692,0.00155,5.54448,0.30793,5.01357,0.53006
CatsDogs,ip_correct,0.93158,0.01059,0.19701,0.02336,68.5,1.11803,0.19318,0.00828,0.38019,0.09356,1.61139,0.04295,0.23614,0.0592,0.02366,0.01029,6.23721,1.2911,4.49277,2.36637
CatsDogs,random_ee,0.82,0.0,0.75491,0.00898,7.25,0.43301,0.68732,0.0075,0.07386,0.00174,0.49283,0.00292,0.14985,0.00307,0.0155,0.0014,9.05541,0.18037,1.32253,0.0546
CatsDogs,random_ei,0.61329,0.00646,0.18124,0.0082,33.0,0.70711,0.18212,0.00695,0.02543,0.00207,0.10248,0.00272,0.24788,0.01479,0.0258,0.00301,5.67654,0.3228,4.77969,0.56596
CatsDogs,short-hag,,,,,,,,,0.25051,0.00499,0.81086,0.01257,0.30892,0.00158,0.04138,0.00032,4.52571,0.02286,7.00635,0.06821
FSDD,anti-oja_fast,0.97716,0.01826,0.20545,0.06058,57.75,13.23584,0.18835,0.05456,0.18835,0.05456,0.04828,0.01409,0.22108,0.05482,0.21832,0.02576,-0.0298,0.00831,10.29916,0.67214
FSDD,desp,2.44679,0.00092,0.39889,0.01725,10.5,0.5,0.30342,0.01356,0.30342,0.01356,0.03424,0.00072,0.09071,0.00544,0.37881,0.02346,-0.00981,0.00369,7.249,0.53923
FSDD,hadsp,0.96715,0.00122,0.30283,0.00406,12.0,0.0,0.25833,0.00081,0.25833,0.00081,0.05938,0.00319,0.13878,0.0058,0.42777,0.00945,0.0003,0.0016,6.44235,0.11716
FSDD,hsp,,,,,,,,,0.03092,0.00227,0.0925,0.00571,0.334,0.00497,-0.06362,0.00329,8.45089,0.03921,11.57082,0.32947
FSDD,ip-anti-oja_fast,0.91602,0.01374,0.19195,0.03318,67.0,7.10634,0.18165,0.03161,0.18165,0.03161,0.31736,0.08829,1.44323,0.43093,0.22119,0.01236,-0.03087,0.01433,9.7245,0.36932
FSDD,ip_correct,0.89513,0.00852,0.19223,0.02542,52.75,2.16506,0.18344,0.02683,0.18344,0.02683,0.53914,0.20141,2.67258,1.36272,0.21541,0.05408,-0.03084,0.0071,11.26794,2.04635
FSDD,random_ee,0.91064,0.00117,0.43383,0.0209,21.75,1.08972,0.40828,0.01881,0.40828,0.01881,0.06107,0.00452,0.35245,0.02621,0.1733,0.0027,-0.07457,0.00983,15.98624,1.50958
FSDD,random_ei,0.98214,0.01316,0.14918,0.0202,74.25,6.41775,0.13886,0.01449,0.13886,0.01449,0.11497,0.01257,0.5579,0.0826,0.20781,0.01702,-0.02909,0.0037,10.54806,0.53126
FSDD,short-hag,,,,,,,,,0.15757,0.00242,0.33312,0.00372,0.47301,0.00432,-0.03235,0.00333,5.59974,0.04158,22.81198,0.44301
JapaneseVowels,anti-oja_fast,0.90681,0.01322,0.25045,0.01361,21.0,0.70711,0.25362,0.0155,0.34587,0.04042,0.2924,0.04301,1.18833,0.05067,0.17791,0.02684,1.69344,0.15663,54.31695,4.79639
JapaneseVowels,desp,1.2355,0.11318,0.239,0.00273,9.0,0.0,0.3091,0.00311,0.41765,0.00538,0.26405,0.00253,1.58164,0.00584,0.31677,0.00223,1.24594,0.01077,91.66461,2.76606
JapaneseVowels,hadsp,0.9822,0.02025,0.27721,0.00319,8.5,0.5,0.30758,0.00082,1.1621,0.01822,0.79353,0.01173,1.46448,0.01042,0.27819,0.00359,1.24819,0.01174,79.41124,1.27975
JapaneseVowels,hsp,,,,,,,,,0.18479,0.00672,0.12805,0.00431,1.44321,0.02379,0.26354,0.00389,1.34696,0.01634,79.84929,2.73575
JapaneseVowels,ip-anti-oja_fast,0.68654,0.00749,0.26049,0.03194,22.75,3.03109,0.24552,0.02173,1.08869,0.15095,0.97889,0.09689,1.10812,0.04563,0.17396,0.00865,1.75139,0.05553,46.60432,5.52107
JapaneseVowels,ip_correct,0.89229,0.01373,0.24102,0.00707,22.25,1.08972,0.2411,0.0089,0.09616,0.00462,0.07934,0.00572,1.21588,0.07077,0.21363,0.02708,1.5516,0.08881,58.54826,7.19841
JapaneseVowels,random_ee,0.72,0.0,0.47231,0.00944,7.0,0.0,0.37996,0.0063,0.06179,0.00077,0.0408,0.00083,1.51467,0.02406,0.25745,0.00326,1.36678,0.01783,87.91548,3.15975
JapaneseVowels,random_ei,0.85171,0.01222,0.25564,0.00471,17.75,0.82916,0.25148,0.00529,0.51297,0.01658,0.40854,0.01485,1.25606,0.02636,0.22599,0.01594,1.48668,0.0684,61.66664,3.63087
JapaneseVowels,short-hag,,,,,,,,,1.05969,0.01257,0.72751,0.00735,1.45664,0.01394,0.27891,0.00329,1.25822,0.01009,78.89373,1.5516
Lorenz,anti-oja_fast,0.72773,0.00432,0.39952,0.01547,8.0,0.0,0.40298,0.00806,,,,,,,,,,,,
Lorenz,desp,0.20947,0.01612,0.56435,8e-05,6.0,0.0,0.53159,0.00021,,,,,,,,,,,,
Lorenz,hadsp,0.21175,0.02381,0.5638,5e-05,6.0,0.0,0.53131,0.00021,,,,,,,,,,,,
Lorenz,ip-anti-oja_fast,0.96537,0.01759,0.47853,0.30128,8.5,3.20156,0.38064,0.09989,,,,,,,,,,,,
Lorenz,ip_correct,0.99603,0.00939,0.33301,0.01691,10.0,0.70711,0.32634,0.01114,,,,,,,,,,,,
Lorenz,random_ee,0.5,0.0,0.83317,0.00113,3.0,0.0,0.79962,0.00247,,,,,,,,,,,,
Lorenz,random_ei,0.93797,0.01045,0.35539,0.01054,9.75,0.43301,0.36509,0.02388,,,,,,,,,,,,
MackeyGlass,anti-oja_fast,0.40032,0.00514,0.45485,0.00813,7.0,0.0,0.47782,0.00709,,,,,,,,,,,,
MackeyGlass,desp,1.885,0.02578,0.41843,0.01339,6.25,0.43301,0.48616,0.00655,,,,,,,,,,,,
MackeyGlass,hadsp,0.94566,0.00848,0.50894,0.00216,6.0,0.0,0.53274,0.00118,,,,,,,,,,,,
MackeyGlass,ip-anti-oja_fast,0.43959,0.00365,0.44183,0.01038,7.75,0.43301,0.45325,0.00482,,,,,,,,,,,,
MackeyGlass,ip_correct,0.39728,0.00669,0.46504,0.00994,7.0,0.0,0.48475,0.00929,,,,,,,,,,,,
MackeyGlass,random_ee,0.4,0.0,0.75296,0.00761,3.5,0.5,0.74065,0.00401,,,,,,,,,,,,
MackeyGlass,random_ei,0.40268,0.00253,0.45254,0.00694,7.0,0.0,0.47862,0.00333,,,,,,,,,,,,
